LAMMPS data file via write_data, version 29 Aug 2024, timestep = 1000000, units = real

512 atoms
1 atom types

-5.264188199768846 25.256188199771394 xlo xhi
-5.241188199768846 25.279188199771394 ylo yhi
-5.260688199768843 25.259688199771396 zlo zhi

Masses

1 39.948

Pair Coeffs # lj/cut

1 0.238 3.405

Atoms # atomic

464 1 -4.300051355066986 -1.2321235736527054 -2.994761129179396 1 1 2
364 1 0.6705765799839263 -4.23251156787277 0.553177877157704 0 0 0
455 1 -2.9382099860925908 -3.0615713830791145 0.21645083839042803 1 0 2
334 1 0.6614862474898935 -1.1171990686280502 -5.056137415386775 -1 -1 0
392 1 -5.251729956169619 -4.565962391510141 -3.2498905517050822 1 0 1
297 1 -1.9200944276047736 -3.461697529643635 -4.489020313947915 1 0 2
318 1 1.1297012010598824 -5.208545743892698 -2.7612330991207563 -1 -1 0
288 1 5.440767470072911 -5.174728033412107 -2.364389555351772 -2 0 1
235 1 6.7428960412404955 0.6990471332910433 -1.0877930054544271 0 1 0
106 1 3.6232992024397213 -1.7225312202358753 -2.4461392054076514 2 -1 0
92 1 0.9084880895919998 -0.5604937189772246 0.0774494807664154 0 2 1
287 1 7.931928044418463 -2.1937567987826485 -3.9395396155555606 -1 -1 1
151 1 11.837517552981051 -4.0467194325383 -5.055929899020577 -2 0 0
323 1 11.307289565589066 0.6637174016061307 -2.115032776222648 -1 0 2
147 1 9.670159243561276 -1.840122265210704 -0.3769663426023717 0 0 -1
361 1 8.043844287939232 -5.092796680108232 0.6783602646928678 1 1 1
427 1 13.55617736831002 -2.527439271082044 -2.680849535796549 -1 0 0
54 1 17.686038082338047 -1.7731424226894141 -1.3969889563477087 0 1 1
11 1 14.835640538902364 0.42519959530023943 -1.5807304446117045 1 0 0
285 1 23.426766225152505 -3.1671104343577574 0.0895194527584784 -1 0 0
208 1 22.255070981990198 -1.5467251405927152 -2.789645024976842 1 2 0
399 1 -3.447040424084652 4.208626416362078 -4.2555252030386646 0 0 1
51 1 -0.3631403357176959 4.500578703041095 -1.67811273535783 -1 1 2
77 1 -4.378286267717956 6.532649773091034 -1.7315131124011094 0 1 -1
266 1 -2.1464340846151 1.0714296276489828 0.22807385028812108 -1 0 1
234 1 0.2518707120057355 3.0726774860138573 -4.68876575824639 1 0 1
332 1 3.733273472474064 2.496025078827274 -2.23533113378213 1 0 1
65 1 2.5065752664497287 6.778591163361758 -2.49350429531838 0 0 2
310 1 9.284217766058559 2.863352428226218 -4.48315386565723 -1 1 2
14 1 10.091983167149133 4.690972374087849 -1.4554716741657254 0 -1 0
330 1 11.828981612362796 6.657773250165194 -5.066319525408067 0 -1 2
442 1 16.93208376642103 3.7279786131469166 0.10267425004036508 1 0 0
237 1 15.912932187984499 5.139407038352616 -3.3934651913442258 1 1 0
154 1 17.570024175271026 1.3625570658376507 -4.220000274391331 1 0 -1
462 1 19.595622120482204 1.6307093567249167 -1.2945374530623908 0 0 1
63 1 23.942388144373133 1.1454707951749112 -1.4122052407032037 0 0 -2
388 1 22.363654968374384 3.7833866708890778 -3.669857590259136 -1 1 1
430 1 19.679641692554306 5.203100503522933 -2.26030250928171 -1 1 0
251 1 22.699838570120047 6.150045744692452 -0.3897850778447393 0 0 0
264 1 -1.9392915789250895 7.400333282575231 -4.250270197223544 -1 0 1
352 1 -4.5404294200591435 10.150624082510543 -1.9912725108012643 -1 -1 0
303 1 -2.0811208288467915 9.714398242005908 0.6978825259848096 2 -2 0
68 1 0.4100350416365339 10.802941744006546 -3.206433319016343 -1 0 0
16 1 -2.1157788302407616 13.028697775589233 -1.226170930334662 1 0 2
85 1 5.069635015436138 8.278322600813341 -0.5819411405858985 1 1 2
10 1 1.5842275639461354 8.580346491162109 0.2149300169158609 0 0 -1
236 1 2.289268797442219 12.44420942806386 -0.307390356991746 1 0 -1
497 1 6.109217340860628 11.761073538286318 -2.180732618943971 0 -1 -1
29 1 2.722930025517437 12.349323673349659 -5.1470017561384935 0 0 0
312 1 6.40454549871238 8.306989409151953 -4.2567711673607675 0 2 0
461 1 9.395125668347008 8.1880009714746 -1.9748468492650606 -1 0 -1
417 1 12.628937751598457 7.953564358260982 -0.757052061059304 0 1 1
284 1 10.399129568001158 12.308984922022201 -1.8120258258497433 -1 0 1
325 1 15.547886099689144 8.489353120668403 -2.4440004503741997 -1 1 1
90 1 14.011930785892382 11.500766820589796 -3.992441244027102 -1 0 0
2 1 13.735464039767223 11.792670256835592 0.7447213487940618 1 -1 0
81 1 18.168715597392076 12.005842143416501 -3.7012065826582394 0 1 0
347 1 16.44438444384876 9.457880108293647 0.8065027470845766 0 1 1
457 1 18.151366922593656 8.18514686612486 -5.032884292704568 -1 -2 -1
88 1 19.403203174159614 8.649504002473307 -1.4847142885647313 0 0 0
423 1 21.916321594895255 8.066520709415533 -4.3454426416899095 -2 2 2
326 1 21.8053506727129 11.14957031416116 -1.9726244554729078 -1 0 -1
405 1 19.774657852838377 11.360550331352552 0.7559025087727063 0 0 0
93 1 21.967430829559497 13.057514897854702 -5.22685604590165 0 0 1
35 1 -5.20134054727234 13.688840069770922 -4.102977208585522 -1 -1 -1
245 1 -0.42456154486744335 14.185754759992776 -5.049190635955632 0 1 0
108 1 -2.5210922835295078 16.6264469405188 -3.7448551060555024 2 -1 0
295 1 0.5717378731999307 17.78446241523583 -1.0492225183297 1 -1 0
201 1 3.8657031526797194 15.125206060427598 -1.561890541456198 1 -2 1
112 1 1.9414815021177594 16.895782553562416 -4.363486400451541 0 -1 0
279 1 6.67931048795025 18.047846326670655 -3.165955644341937 -1 1 -1
217 1 6.667757796069818 14.824419568442949 -4.016296026755625 -1 0 -1
214 1 7.654419621087033 14.418115068632968 -0.06966226196386784 -2 -1 2
263 1 9.617923200833022 16.145236699796378 -2.2165016938809483 0 -1 0
320 1 11.452131673708347 14.32713000197398 -4.902326557621503 0 1 -1
488 1 9.73972169767875 18.62978395527649 0.7334700251362288 1 -1 -1
272 1 16.986702400973996 13.188684880784855 -0.4840751516606322 1 -2 -1
300 1 13.942836762002305 14.507940185471913 -1.9751687489998306 0 0 -1
314 1 13.176017726074242 17.38076722694061 -4.146949114404155 0 0 2
336 1 16.88364092568035 16.83302517018144 -3.9440316009415413 0 -2 0
496 1 21.01353515758775 18.924390642820583 -2.7059076803143953 -1 1 1
249 1 20.241943921944213 14.699332083612273 -2.7889701944038805 -2 0 1
290 1 24.19724596867435 18.113464674571066 -4.986344279762793 1 1 1
467 1 21.38645177546888 18.282438314599666 0.8236251475303314 -1 -2 -1
191 1 24.31563851253517 16.214067130425224 -1.4784625370059148 0 -1 2
94 1 -0.21057418031813757 20.833625707200888 -3.40156297636676 -1 0 0
340 1 -2.526323073855411 23.936732285901677 -1.5987307722202264 0 1 0
219 1 -3.346211749554171 19.985393539428312 -2.2518900310457566 0 0 1
47 1 0.5243519657283864 22.49625849962644 0.3160717165862617 1 -2 -1
466 1 3.8791215330300464 19.96949189824417 -1.6995205117408738 0 -1 0
238 1 12.627023960458235 25.001876815050682 -1.492874741044874 0 0 0
357 1 9.207395955577638 24.278915605338856 -2.954907296038016 0 0 1
460 1 7.334601118397787 21.10973953028967 -0.3844710515372679 1 -1 0
216 1 11.393205939848286 21.788698788795415 -0.176767169344096 -1 -2 1
289 1 10.202155058777446 19.711067856327663 -3.423624575237917 0 -1 1
